ID,OFFER_ID,TYPE,AMOUNT,CREATED_AT,UPDATED_AT
805356,768552,OfferReward::ShopNow,0,2021-03-24 22:27:29.000,2021-03-24 22:27:29.000
805355,768551,OfferReward::ShopNow,0,2021-03-24 22:27:29.000,2021-03-24 22:27:29.000
805354,768550,OfferReward::ShopNow,0,2021-03-24 22:27:29.000,2021-03-24 22:27:29.000
805353,768549,OfferReward::ShopNow,0,2021-03-24 22:27:29.000,2021-03-24 22:27:29.000
805352,768548,OfferReward::ShopNow,0,2021-03-24 22:27:28.000,2021-03-24 22:27:28.000
805351,768547,OfferReward::ShopNow,0,2021-03-24 22:27:28.000,2021-03-24 22:27:28.000
805350,768546,OfferReward::ShopNow,0,2021-03-24 22:27:28.000,2021-03-24 22:27:28.000
805349,768545,OfferReward::ShopNow,0,2021-03-24 22:26:41.000,2021-03-24 22:26:41.000
805348,768544,OfferReward::Fact,4,2021-03-24 22:26:15.000,2021-03-24 22:26:15.000
805347,768543,OfferReward::Fact,4,2021-03-24 22:26:11.000,2021-03-24 22:26:11.000
805346,768542,OfferReward::Fact,4,2021-03-24 22:26:08.000,2021-03-24 22:26:08.000
805345,768541,OfferReward::ShopNow,0,2021-03-24 22:25:40.000,2021-03-24 22:25:40.000
805344,768540,OfferReward::ShopNow,0,2021-03-24 22:25:33.000,2021-03-24 22:25:33.000
805343,768539,OfferReward::ShopNow,0,2021-03-24 22:25:29.000,2021-03-24 22:25:29.000
805342,768538,OfferReward::ShopNow,0,2021-03-24 22:25:21.000,2021-03-24 22:25:21.000
805341,768537,OfferReward::Poll,2,2021-03-24 22:25:20.000,2021-03-24 22:26:19.000
805340,768536,OfferReward::ShopNow,0,2021-03-24 22:25:17.000,2021-03-24 22:25:17.000
805339,768535,OfferReward::ShopNow,0,2021-03-24 22:25:12.000,2021-03-24 22:25:12.000
805338,768534,OfferReward::ShopNow,0,2021-03-24 22:25:09.000,2021-03-24 22:25:09.000
805337,768533,OfferReward::ShopNow,0,2021-03-24 22:25:07.000,2021-03-24 22:25:07.000
805336,768532,OfferReward::Fact,2,2021-03-24 22:25:02.000,2021-03-24 22:25:02.000
805334,768531,OfferReward::ShopNow,0,2021-03-24 22:24:44.000,2021-03-24 22:24:44.000
805333,768530,OfferReward::ShopNow,0,2021-03-24 22:24:41.000,2021-03-24 22:24:41.000
805332,768529,OfferReward::ShopNow,0,2021-03-24 22:24:35.000,2021-03-24 22:24:35.000
805331,768528,OfferReward::Fact,2,2021-03-24 22:24:32.000,2021-03-24 22:24:32.000
805330,768527,OfferReward::ShopNow,0,2021-03-24 22:24:29.000,2021-03-24 22:24:29.000
805329,768526,OfferReward::ShopNow,0,2021-03-24 22:24:24.000,2021-03-24 22:24:24.000
805328,768525,OfferReward::ShopNow,0,2021-03-24 22:24:10.000,2021-03-24 22:24:10.000
805335,768524,OfferReward::Poll,3,2021-03-24 22:25:01.000,2021-03-24 22:25:01.000
805327,768523,OfferReward::Fact,4,2021-03-24 22:23:59.000,2021-03-24 22:23:59.000
805326,768522,OfferReward::Fact,4,2021-03-24 22:23:57.000,2021-03-24 22:23:57.000
805325,768521,OfferReward::ShopNow,0,2021-03-24 22:23:55.000,2021-03-24 22:23:55.000
805324,768520,OfferReward::Fact,4,2021-03-24 22:23:50.000,2021-03-24 22:23:50.000
805323,768519,OfferReward::Fact,4,2021-03-24 22:23:10.000,2021-03-24 22:23:10.000
805322,768518,OfferReward::Fact,4,2021-03-24 22:22:54.000,2021-03-24 22:31:32.000
805321,768517,OfferReward::Instant,3,2021-03-24 22:20:19.000,2021-03-24 22:20:19.000
805320,768516,OfferReward::Fact,4,2021-03-24 22:18:33.000,2021-03-24 22:21:18.000
805319,768515,OfferReward::Fact,2,2021-03-24 22:17:11.000,2021-03-24 22:17:11.000
805318,768514,OfferReward::Fact,4,2021-03-24 22:16:25.000,2021-03-24 22:16:25.000
805317,768513,OfferReward::Fact,4,2021-03-24 22:16:25.000,2021-03-24 22:16:25.000
805316,768512,OfferReward::Fact,4,2021-03-24 22:16:20.000,2021-03-24 22:16:20.000
805314,768511,OfferReward::Fact,4,2021-03-24 22:15:48.000,2021-03-24 22:15:48.000
805315,768510,OfferReward::Fact,4,2021-03-24 22:15:48.000,2021-03-24 22:15:48.000
805313,768509,OfferReward::Fact,4,2021-03-24 22:15:42.000,2021-03-24 22:15:42.000
805312,768508,OfferReward::ShopNow,0,2021-03-24 22:15:28.000,2021-03-24 22:15:28.000
805311,768507,OfferReward::ShopNow,0,2021-03-24 22:15:22.000,2021-03-24 22:15:22.000
805310,768506,OfferReward::ShopNow,0,2021-03-24 22:15:05.000,2021-03-24 22:15:05.000
805309,768505,OfferReward::ShopNow,0,2021-03-24 22:15:00.000,2021-03-24 22:15:00.000
805308,768504,OfferReward::ShopNow,0,2021-03-24 22:14:37.000,2021-03-24 22:14:37.000
805307,768503,OfferReward::ShopNow,0,2021-03-24 22:14:32.000,2021-03-24 22:14:32.000
805306,768502,OfferReward::ShopNow,0,2021-03-24 22:14:26.000,2021-03-24 22:14:26.000
805305,768501,OfferReward::Instant,3,2021-03-24 22:13:58.000,2021-03-24 22:13:58.000
805304,768500,OfferReward::Fact,2,2021-03-24 22:13:52.000,2021-03-24 22:13:52.000
805303,768499,OfferReward::Fact,4,2021-03-24 22:13:34.000,2021-03-24 22:13:34.000
805302,768498,OfferReward::Fact,4,2021-03-24 22:13:30.000,2021-03-24 22:13:30.000
805301,768497,OfferReward::Fact,4,2021-03-24 22:13:28.000,2021-03-24 22:13:28.000
805300,768496,OfferReward::Fact,4,2021-03-24 22:13:25.000,2021-03-24 22:13:25.000
